pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
84,保定,1.6,137,轻度污染,59,,82,,2014-02-05,111,34
195,保定,3,306,重度污染,18,,118,,2014-01-04,245,98
30,北海,1.4,52,良,122,,11,,2014-10-04,68,13
9,北海,1.1,23,优,79,,8,,2014-09-04,40,14
7,北海,0.8,24,优,74,,16,,2014-08-04,37,7
13,北海,1,34,优,69,,10,,2014-07-04,35,6
10,北海,1,40,优,94,,13,,2014-06-04,47,10
13,北海,1,44,良,115,,10,,2014-05-04,63,6
45,北海,1.9,72,良,157,,13,,2014-04-04,98,15
37,北海,1.1,68,良,159,,10,,2014-04-05,99,8
26,北海,1.5,61,良,31,,10,,2014-03-04,56,7
28,保定,0.7,66,轻度污染,171,,23,,2015-07-03,110,32
31,北海,1.6,63,良,73,,8,,2014-02-04,56,11
144,北海,1.4,191,中度污染,142,,31,,2014-01-04,191,29
74,安阳,2.2,113,良,36,,88,,2014-03-05,99,54
103,安阳,3,111,轻度污染,54,,70,,2014-02-08,135,35
117,安阳,3.6,178,中度污染,34,,97,,2014-01-04,153,80
185,安阳,6.5,231,重度污染,46,,181,,2013-12-03,235,120
118,安阳,2.8,146,中度污染,85,,73,,2013-11-04,155,50
0,安阳,2.1,187,重度污染,323,,50,,2013-10-04,211,45
0,安阳,3.8,121,轻度污染,145,,112,,2013-09-04,106,70
3,安阳,1.4,113,中度污染,206,,10,,2013-08-04,182,30
3,安阳,1.6,58,中度污染,0,,11,,2013-07-04,187,31
3,安阳,2,115,良,0,,22,,2013-06-04,83,41
238,保定,3.9,379,重度污染,21,,122,,2013-12-06,288,105
99,北海,1.4,136,轻度污染,116,,21,,2013-12-06,130,31
3,安阳,1.8,130,良,0,,74,,2013-05-17,90,46
116,白城,1,144,中度污染,48,,12,,2016-11-04,152,38
282,白城,1.8,316,严重污染,90,,14,,2016-11-05,332,65
34,白城,0.4,52,良,41,,6,,2016-10-04,51,20
60,白城,0.8,84,良,134,,7,,2016-09-04,82,26
44,白城,0.8,61,良,126,,6,,2016-09-05,72,16
48,白城,0.8,83,良,112,,5,,2016-08-04,67,13
43,白城,0.6,84,良,98,,4,,2016-08-05,67,13
69,白城,0.8,90,良,154,,7,,2016-07-04,95,17
40,白城,0.5,48,良,110,,6,,2016-06-04,59,11
34,白城,0.6,87,良,101,,6,,2016-05-04,69,23
44,白城,0.6,83,良,110,,8,,2016-05-05,67,22
34,白城,0.6,58,良,66,,9,,2016-04-04,54,16
86,白城,1,123,轻度污染,67,,36,,2016-03-04,114,36
32,白城,0.4,58,良,71,,18,,2016-02-04,54,12
31,白城,0.4,46,优,52,,21,,2016-01-04,46,16
34,白城,0.5,42,优,36,,19,,2015-12-04,49,8
34,白城,0.5,36,优,33,,25,,2015-12-05,49,7
30,白城,0.3,66,良,73,,8,,2015-09-05,58,16
30,白城,0.3,56,良,72,,17,,2015-09-06,53,12
47,白城,0.3,68,良,87,,7,,2015-08-04,65,16
50,白城,0.4,72,良,98,,6,,2015-08-05,69,18
31,白城,0.3,43,良,104,,3,,2015-07-04,53,12
33,白城,0.3,52,良,131,,3,,2015-07-05,76,12
33,白城,0.3,85,良,112,,4,,2015-06-04,67,12
51,白城,0.5,70,良,133,,3,,2015-06-05,78,9
63,白城,0.5,74,良,128,,5,,2015-06-06,85,8
32,白城,0.2,65,良,104,,3,,2015-05-04,58,14
42,白城,0.2,174,轻度污染,83,,3,,2015-05-05,112,13
63,白城,0.2,69,良,71,,19,,2015-04-04,86,19
96,白城,0.9,121,轻度污染,97,,55,,2015-03-05,127,39
77,保定,0.9,141,轻度污染,114,,43,,2016-04-04,103,58
150,保定,2.5,213,中度污染,52,,52,,2016-03-04,200,73
50,保定,1,199,轻度污染,88,,37,,2016-03-05,125,47
130,保定,3.6,168,中度污染,68,,86,,2016-02-05,172,76
99,保定,2.6,137,轻度污染,77,,81,,2016-02-06,130,65
128,保定,3.2,186,中度污染,39,,99,,2016-01-05,169,66
186,保定,4.4,256,重度污染,30,,118,,2016-01-06,236,90
120,保定,3.1,179,中度污染,38,,86,,2015-12-04,158,72
124,保定,1.5,199,中度污染,50,,54,,2015-11-04,163,99
138,保定,1.4,242,中度污染,125,,31,,2015-10-04,183,95
33,保定,0.5,54,良,89,,11,,2015-09-04,52,29
33,保定,0.5,53,良,96,,10,,2015-09-05,52,17
31,保定,0.8,63,良,150,,21,,2015-08-04,92,30
27,白城,0.4,71,良,51,,28,,2015-02-06,60,10
38,白城,0.3,96,良,52,,26,,2015-02-07,73,4
59,白城,0.6,99,良,71,,27,,2015-01-05,80,16
34,白城,0.5,53,良,66,,46,,2015-01-06,52,10
57,白城,0.7,81,良,55,,46,,2015-01-07,77,20
86,保定,1.2,146,轻度污染,119,,78,,2014-06-06,113,36
26,保定,0.9,66,良,143,,28,,2014-06-07,86,25
40,保定,1,125,良,148,,35,,2014-06-08,90,32
34,保定,0.5,106,良,97,,12,,2014-05-05,78,31
37,保定,0.5,144,良,92,,20,,2014-04-05,97,23
68,保定,0.9,217,轻度污染,83,,46,,2014-04-06,133,43
47,保定,2.3,98,良,66,,61,,2014-03-05,74,49
146,保定,2.8,226,中度污染,63,,92,,2014-02-06,194,55
96,保定,1.7,131,轻度污染,44,,51,,2014-02-07,127,41
179,保定,3.4,322,重度污染,22,,121,,2014-01-05,229,114
153,保定,2.8,264,重度污染,17,,107,,2014-01-06,203,83
207,保定,3.1,317,重度污染,27,,115,,2014-01-07,257,91
39,北海,1.4,64,良,129,,11,,2014-10-05,74,11
58,北海,1.5,99,良,143,,15,,2014-10-06,86,16
10,北海,1.1,21,优,85,,8,,2014-09-05,43,13
8,北海,0.9,28,优,86,,16,,2014-08-05,43,8
13,北海,1,40,优,60,,8,,2014-07-05,40,8
8,北海,1.1,33,优,55,,9,,2014-07-06,33,10
12,北海,1.1,35,优,85,,12,,2014-06-05,43,11
17,北海,1.2,38,优,93,,12,,2014-05-05,47,8
20,北海,1.3,45,优,74,,10,,2014-05-06,45,8
21,北海,1.4,48,优,69,,11,,2014-05-07,48,7
14,北海,1.1,54,良,126,,10,,2014-04-06,72,6
